,Well Name,Depth,GR,ILD,ILD_log10,NPHI,RHOB,PORD,PORDIFF,BVW,Facies
616,AMMY196,1755.28,20.0149,38.791,1.58873097549807,0.2666,2.3306,0.2356522,0.0309478,0.025386598621106003,1
617,AMMY196,1755.78,21.0609,31.587,1.4995083804061002,0.2512,2.3023,0.2532298,-0.0020298,0.028132984966612998,1
618,AMMY196,1756.28,21.1171,26.496,1.42318031510479,0.2461,2.2903,0.2606833,-0.0145833,0.030717074198937003,1
619,AMMY196,1756.78,19.8391,22.629,1.35466536243561,0.2471,2.29,0.2608696,-0.0137696,0.033238186713329,1
620,AMMY196,1757.28,17.9735,19.834,1.2974103088973898,0.2512,2.296,0.2571428,-0.005942899999999999,0.035502983441053,1
621,AMMY196,1757.78,16.2859,17.649,1.24672010310711,0.2574,2.289,0.2614907,-0.0040907,0.037636562681429,1
622,AMMY196,1758.28,15.2512,16.007,1.2043099449405401,0.2648,2.2718,0.2721739,-0.007373899999999999,0.039519826735342004,1
623,AMMY196,1758.78,15.0541,14.319,1.15591268908591,0.2725,2.2747,0.2703727,0.0021273000000000004,0.041784350880325,1
624,AMMY196,1759.28,15.3316,12.687000000000001,1.1033589398665602,0.2791,2.2876,0.26236020000000004,0.0167398,0.044390550861123,1
625,AMMY196,1759.78,15.7416,11.53,1.0618293072947,0.2808,2.2988,0.2554037,0.0253963,0.046564543609874,1
626,AMMY196,1760.28,15.9919,10.502,1.02127201395104,0.2775,2.3115,0.24751550000000003,0.029984500000000004,0.04879035716799401,1
627,AMMY196,1760.78,15.9355,9.795,0.991004440330755,0.2709,2.3299,0.23608690000000002,0.0348131,0.050520516758822,1
628,AMMY196,1761.28,15.7695,9.136000000000001,0.9607560909017729,0.2615,2.353,0.22173920000000003,0.0397608,0.052310871914836,1
629,AMMY196,1761.78,15.675999999999998,8.51,0.929929560084588,0.2497,2.37,0.2111802,0.03851980000000001,0.054200741037597006,1
630,AMMY196,1762.28,15.5747,7.936,0.899601659146122,0.2367,2.3971,0.1943478,0.0423522,0.056126656883367,1
631,AMMY196,1762.78,15.3535,7.817,0.893040111957118,0.2252,2.4262,0.1762733,0.0489267,0.056552257789341,1
632,AMMY196,1763.28,14.8824,7.699,0.886434319628938,0.218,2.4154,0.18298129999999999,0.03501869999999999,0.056983988608965995,1
633,AMMY196,1763.78,14.0615,7.7379999999999995,0.888628725385226,0.2167,2.3739,0.2087578,0.0079422,0.05684020579283901,1
634,AMMY196,1764.28,13.2977,7.785,0.8912586169041391,0.2217,2.3627,0.2157143,0.0059857,0.056668366743171,1
635,AMMY196,1764.78,13.0292,8.152999999999999,0.9113174423240309,0.2313,2.3709,0.2106212,0.020678799999999997,0.055374686839727,1
636,AMMY196,1765.28,13.0332,8.579,0.9334366678262809,0.2421,2.3516,0.2226087,0.0194913,0.05398233555135801,1
637,AMMY196,1765.78,12.9571,9.368,0.971646882064307,0.2523,2.3301,0.2359627,0.0163373,0.051659067602745,1
638,AMMY196,1766.28,12.8515,10.314,1.0134271270707,0.2608,2.327,0.23788829999999997,0.022911700000000004,0.04923301593894901,1
639,AMMY196,1766.78,12.8786,11.345,1.0548045002209498,0.2628,2.3323,0.23459629999999998,0.028203700000000005,0.04694266637974501,1
640,AMMY196,1767.28,12.9774,12.478,1.0961449812943398,0.2629,2.3309,0.2354659,0.0274341,0.04476076637104,1
641,AMMY196,1767.78,13.020999999999999,13.997,1.1460349626025,0.2675,2.3232,0.2402485,0.027251599999999997,0.042262241076287003,1
642,AMMY196,1768.28,13.0102,15.780999999999999,1.19813451983168,0.2727,2.3151,0.2452795,0.027420499999999997,0.03980180287145299,1
643,AMMY196,1768.78,12.9858,17.95,1.25406445291434,0.2753,2.3071,0.2502484,0.0250516,0.037319668543104,1
644,AMMY196,1769.28,13.0955,18.774,1.27355681352984,0.2758,2.2851,0.2639131,0.0118869,0.036491490082037004,1
645,AMMY196,1769.78,13.5492,19.437,1.28862923466499,0.2732,2.3027,0.2529813,0.020218700000000003,0.035863724278774003,1
646,AMMY196,1770.28,14.2127,18.718,1.2722594429402199,0.2662,2.3362,0.23217390000000002,0.0340261,0.036546036435475,1
647,AMMY196,1770.78,14.8158,17.875999999999998,1.2522703459883202,0.2562,2.3472,0.22534169999999998,0.030858299999999998,0.037396833549694,1
648,AMMY196,1771.28,15.1545,17.417,1.24097335184,0.2497,2.326,0.23850929999999998,0.011190700000000001,0.037886398973666004,1
649,AMMY196,1771.78,15.0356,17.024,1.23106161061495,0.2475,2.3089,0.2491304,-0.0016304000000000002,0.03832120871781,1
650,AMMY196,1772.28,14.7341,16.912,1.22819496996335,0.2458,2.3126,0.2468324,-0.0010324000000000002,0.038447890745053996,1
651,AMMY196,1772.78,14.7321,16.848,1.22654835384141,0.2457,2.3123,0.24701869999999998,-0.0013186,0.038520846960084995,1
652,AMMY196,1773.28,14.828,17.455,1.2419198531502,0.2489,2.2969,0.2565838,-0.007683800000000001,0.03784513665421,1
653,AMMY196,1773.78,14.4899,18.223,1.26061987517237,0.2558,2.2888,0.2616149,-0.0058149,0.037039069414849995,1
654,AMMY196,1774.28,13.8395,19.168,1.28257680070922,0.2638,2.3001,0.2545962,0.0092038,0.036114499791062,1
655,AMMY196,1774.78,13.3217,20.219,1.30575967226282,0.2694,2.2952,0.25763969999999997,0.0117603,0.035163343907195,1
656,AMMY196,1775.28,13.0187,20.284000000000002,1.30715360187584,0.2705,2.2715,0.27236020000000005,-0.0018602,0.035106958298915,1
657,AMMY196,1775.78,12.8651,19.930999999999997,1.29952908914639,0.2675,2.2721,0.2719876,-0.0044876000000000004,0.035416485280618,1
658,AMMY196,1776.28,12.8116,18.305,1.26256973321755,0.2633,2.3078,0.2498136,0.0134864,0.03695601525657,1
